MCC,MCC_TITLE,MCC_DESCRIPTION,INCLUDED_IN_MCC,SIMILAR_MERCHANTS
8043,"Opticians, Optical Goods, and Eyeglasses","Merchants classified with this MCC perform eye examinations, write prescriptions, make and sell eyeglasses, and sell other optical goods.",Eyeglass Stores,8011 – Doctors and Physicians (Not Elsewhere Classified) 8042 – Optometrists and Ophthalmologists 8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)
8049,Podiatrists and Chiropodists,Merchants classified with this MCC are licensed physicians specializing in diagnosing and treating foot ailments.,"Doctors – Chiropodists, Podiatrists Foot Doctors Medical Professionals – Podiatrists Podiatrists",8011 – Doctors and Physicians (Not Elsewhere Classified) 8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)
8050,"Nursing, Home Healthcare and Personal Care Facilities","Merchants classified with this MCC provide inpatient nursing or health-related personal care services and operate convalescent/nursing homes, hospice facilities, offer care in home/residential environment and other long-term care facilities that generally do not offer surgery.","Convalescent Homes Elder Housing Hospice Facilities
Nursing Homes Rest Homes Elder Care Skilled and Unskilled Home Care",8062 – Hospitals
8062,Hospitals,"Merchants classified with this MCC are hospitals that provide diagnostic services, extensive medical treatment, surgery, continuous nursing services, mental and psychiatric care, and other hospital services.",,0742 – Veterinary Services 8050 – Nursing and Personal Care Facilities
8071,Medical and Dental Laboratories,Merchants classified with this MCC provide medical and dental laboratory services.,,8011 – Doctors and Physicians (Not Elsewhere Classified) 8021 – Dentists and Orthodontists
8099,Medical Services and Health Practitioners (Not Elsewhere Classified),Merchants classified with this MCC are medical professionals that are not classified with a more specific MCC.,"Blood Banks Chemical Dependency Treatment Centers Fertility Clinics Hair Replacements – Surgical Health Practitioners, Medical Services Hearing Testing Services Massage – Therapeutic Medical Professionals – Medical Services, Health Practitioners Mental Health Practitioners Physical Therapists Psychiatrists Psychologists Services – Medical Services, Health Practitioners Sports Medicine Clinics Therapists","8011 – Doctors and Physicians (Not Elsewhere Classified) 8021 – Dentists and Orthodontists 8031 – Osteopaths 8041 – Chiropractors 8042 – Optometrists and Ophthalmologists 8043 – Opticians, Optical Goods, and Eyeglasses 8049 – Podiatrists and Chiropodists 8050 – Nursing and Personal Care Facilities 8062 – Hospitals 8071 – Medical and Dental Laboratories"
8111,Legal Services and Attorneys,Merchants classified with this MCC are headed by members of the bar and provide legal advice and services.,Attorneys Law Offices Lawyers,"7277 – Counseling Services – Debt, Marriage, and Personal"
8211,Elementary and Secondary Schools,Merchants classified with this MCC are elementary and secondary schools that provide academic instruction.,Grade Schools Grammar Schools High Schools Middle Schools Schools – Kindergartens,"8220 – Colleges, Universities, Professional Schools, and Junior Colleges 8241 – Correspondence Schools 8244 – Business and Secretarial Schools 8249 – Vocational and Trade Schools 8299 – Schools and Educational Services (Not Elsewhere Classified) 8351 – Child Care Services"
8220,"Colleges, Universities, Professional Schools, and Junior Colleges","Merchants classified with this MCC are community and junior colleges, universities, theological seminaries and professional schools (such as dental, law, engineering, medical) that provide academic courses and grant academic degrees.",Community Colleges Graduate Schools,8211 – Elementary and Secondary Schools 8241 – Correspondence Schools 8244 – Business and Secretarial Schools 8249 – Vocational and Trade Schools 8299 – Schools and Educational Services (Not Elsewhere Classified)
8241,Correspondence Schools,Merchants classified with this MCC are correspondence schools that offer educational and instruction through the mail/internet by sending lessons and examinations to the student.,,8299 – Schools and Educational Services (Not Elsewhere Classified)
8244,Business and Secretarial Schools,"Merchants classified with this MCC are business and secretarial schools that offer general business training such as, office procedures, word processing, stenographic, and other clerical skills.",Computer Training,8249 – Vocational and Trade Schools 8299 – Schools and Educational Services (Not Elsewhere Classified)
8249,Vocational and Trade Schools,"Merchants classified with this MCC offer training and instruction in specialized professions such as welding, mechanics, carpentry, real estate, and truck driving.",Technical Institutes,8244 – Business and Secretarial Schools 8299 – Schools and Educational Services (Not Elsewhere Classified) 8241 – Correspondence Schools ...
8299,Schools and Educational Services (Not Elsewhere Classified),Merchants classified with this MCC offer educational courses and services that are not classified with a more specific MCC.,"Art Schools Automobile Driving Instruction Aviation Instruction
Cooking Schools Culinary Instruction Driver Education Class, School Flying Instruction Job Training Services Karate Schools Modeling Schools Schools – Art Schools – Automobile Driving Instruction Schools – Cooking Schools – Flying Instruction Schools – Karate Schools – Modeling Services – Job Training Services – Schools, Educational Services Traffic School","7911 – Dance Halls, Studios and Schools 8211 – Elementary and Secondary Schools
8220 – Colleges, Universities, Professional Schools, and Junior Colleges 8241 – Correspondence Schools 8244 – Business and Secretarial Schools 8249 – Vocational and Trade Schools"
8351,Child Care Services,Merchants classified with this MCC provide care for infants or children.,Babysitting Services Children – Day Care Services Day Care Services Nannies Nursery Schools Preschool Centers Day Care Services,8299 – Schools and Educational Services (Not Elsewhere Classified)
8398,Charitable Social Service Organizations,"Merchants classified with this MCC are non-political fund-raising organizations engaged in soliciting charitable donations/contributions on behalf of organizations engaged in social welfare services, or social service organizations engaged in social welfare services. This MCC also includes crowd funding Merchants that accept donations on behalf of individuals raising money for various causes without receiving any perceived or actual financial benefit for doing so.","Fund-Raising Organizations – Non-Political Organizations – Non- Political Public Radio, Television Crowd Funding Merchants","5931 – Used Merchandise and Secondhand Stores 8641 – Civic, Social, and Fraternal Associations 8651 – Political Organizations 8661 – Religious Organizations 8675 – Automobile Associations 8699 – Membership Organizations(Not Elsewhere Classified)"
8641,"Civic, Social, and Fraternal Associations","Merchants classified with this MCC are associations engaged in civic, social, or fraternal activities.","Alumni/Alumnae Associations Associations – Civic, Social, Fraternal Associations
Chambers of Commerce Fraternal Associations Fund-Raising – Political Police Athletic Leagues (PAL) Social Associations, Clubs Veterans’ Organizations","8398 – Charitable Social Service Organizations 8651 – Political Organizations 8661 – Religious Organizations
8675 – Automobile Associations 8699 – Membership Organizations (Not Elsewhere Classified)"
8651,Political Organizations,"Merchants classified with this MCC are membership organizations that promote the interests of or raise funds for a national, state, or local political party or candidate.",Political Fundraising,"8398 – Charitable Social Service Organizations 8641 – Civic, Social, and Fraternal Associations 8661 – Religious Organizations 8675 – Automobile Associations 8699 – Membership Organizations (Not Elsewhere Classified)"
8661,Religious Organizations,"Merchants classified with this MCC are religious organizations that provide worship services, religious training or study, or religious activities.",Chapels Churches Mosques Synagogues Temples,"8398 – Charitable Social Service Organizations 8641 – Civic, Social, and Fraternal Associations 8699 – Membership Organizations (Not Elsewhere Classified)"
8675,Automobile Associations,Merchants classified with this MCC are automobile associations and clubs that provide a variety of travel- related services to its members.,Automobile Club,8699 – Membership Organizations (Not Elsewhere Classified)
8699,Membership Organizations (Not Elsewhere Classified),Merchants classified with this MCC are organizations or associations that are not classified with a more specific MCC.,Art Clubs Historical Clubs Labor Unions Organizations – Membership Organizations Poetry Clubs Professional Organizations Tenant Associations Condominium Associations HOAs Unions – Labor,"7997 – Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses 8398 – Charitable Social Service Organizations 8641 – Civic, Social, and Fraternal Associations 8651 – Political Organizations 8661 – Religious Organizations 8675 – Automobile Associations"
8734,Testing Laboratories (Non-Medical Testing),"Merchants classified with this MCC provide testing services (such as automobile testing, calibration and certification, food testing, forensic testing, product and pollution testing, and industrial X-ray inspection services).",Food Testing Services Forensic Laboratories Pollution Testing Product Testing Laboratories Veterinary Testing Laboratories,8071 – Medical and Dental Laboratories
8911,"Architectural, Engineering, and Surveying Services","Merchants classified with this MCC provide professional architectural, home and building design, boat design, and engineering, land, water, and aerial surveying services.",,1520 – General Contractors – Residential and Commercial 1799 – Special Trade Contractors (Not Elsewhere Classified) 8999 – Professional Services (Not Elsewhere Classified)
8931,"Accounting, Auditing, and Bookkeeping Services","Merchants classified with this MCC provide accounting, bookkeeping, billing and payroll services, and other related auditing services, and may also provide income tax preparation services.",,7276 – Tax Preparation Services 8111 – Legal Services and Attorneys 8999 – Professional Services (Not Elsewhere Classified)
8999,Professional Services (Not Elsewhere Classified),Merchants classified with this MCC provide professional services that are not classified with a more specific MCC.,"Appraisers Auction Houses Brokers – Mortgage, Loan Court Stenographer Financial Planners Graphic Designers Guest Speakers, Lecturers Lecturers Market Research Firms Mortgage Brokers Property Appraisers Public Speakers Real Estate Appraisers Research Firms","6211 – Security Brokers/Dealers 6300 – Insurance Sales, Underwriting, and Premiums 7012 – Timeshares 7276 – Tax Preparation Services 7277 – Counseling Services – Debt, Marriage, and Personal 7311 – Advertising Services 7321 – Consumer Credit Reporting Agencies 7361 – Employment Agencies and Temporary Help Services 7392 – Management, Consulting, and Public Relations Services 7393 – Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs 8111 – Legal Services and Attorneys 8911 – Architectural, Engineering, and Surveying Services 8931 – Accounting, Auditing, and Bookkeeping Services"
9211,"Court Costs, Including Alimony and Child Support","Merchants classified with this MCC are local, state, and federal courts of law that administer and process court fees, alimony, and child support payments.",,9222 – Fines 9399 – Government Services (Not Elsewhere Classified)
9222,Fines,"Merchants classified with this MCC are government entities that administer and process local, state, and federal fines and penalties, motor vehicle violations, and community- or property-assessed fines.",Community Assessed Penalties Motor Vehicle Violations,"9211 – Court Costs, Including Alimony and Child Support 9399 – Government Services- (Not Elsewhere Classified)"
9223,Bail and Bond Payments,Merchants classified with this MCC post bail to the court system as security for the appearance of the arraigned individual.,,
9311,Tax Payments,"Merchants classified with this MCC are local, state, and federal entities that engage in financial administration and taxation including collection of taxes and penalties and custody and disbursement of funds.",Customs Bureaus,9399 – Government Services (Not Elsewhere Classified)
9399,Government Services (Not Elsewhere Classified),Merchants classified with this MCC are government entities that provide general support services to government and communities are not classified with a more specific MCC.,DMV Department of Motor Vehicles Fire Departments Libraries Parks and Recreation Police Departments,"4784 – Tolls and Bridge Fees 7523 – Parking Lots, Parking Meters and Garages 7992 – Public Golf Courses"
9402,Postal Services – Government Only,Merchants classified with this MCC are government postal offices that provide a variety of services such as accepting and processing packages and mail for delivery and selling postage stamps.,,7399 – Business Services (Not Elsewhere Classified). 9399– Government Services (Not Elsewhere Classified)
9405,U.S. Federal Government Agencies or Departments,Merchants classified with this MCC process U.S. federal government transactions using an acquiring BIN associated with the Intra-Government Transfers (IGOTS) program.,,
9406,Government-Owned Lotteries (Non-U.S. region),Merchants classified with this MCC are government- owned lotteries that sell lottery tickets,,"7800 – Government-Owned Lotteries (US Region Only) 7995 – Betting, including Lottery Tickets, Casino Gaming Chips, Off- Track Betting, and Wages at Race tracks"
9702,Emergency Services (GCAS) (Visa use only),,,
9950,Intra-Company Purchases,Merchants classified with this MCC process purchasing card transactions representing internal unit-to-unit transfers of goods and services.,,
